iter	PRAUC	Logloss
0	0.01289735384	0.415746109
1	0.01239962818	0.2491258161
2	0.01243179053	0.1539479812
3	0.01180063104	0.09768174708
4	0.01267498392	0.0664188072
5	0.01451183251	0.04735779789
6	0.01949147738	0.03532361715
7	0.01866285872	0.02772732189
8	0.01854301715	0.02268178283
9	0.01768802921	0.01931544007
10	0.0184237901	0.01692012992
11	0.01907019851	0.01512880006
12	0.03597439186	0.01374404566
13	0.05828362731	0.01231821147
14	0.05332623239	0.01174391028
15	0.06249654904	0.01129536186
16	0.07177380773	0.01070308514
17	0.07573640059	0.01040714656
18	0.07418337931	0.01017199537
19	0.07448945805	0.01000145923
20	0.07643130136	0.00987367005
21	0.07785348981	0.009778964089
22	0.07902851683	0.009692935203
23	0.0801071681	0.009612971984
24	0.08149001936	0.009547913945
25	0.08748948483	0.00945687436
26	0.0891075733	0.009329740785
27	0.09396469463	0.009267193579
28	0.09586694651	0.00922739866
29	0.09919857476	0.009163838795
30	0.1012970266	0.009104887568
31	0.1019231344	0.009078216601
32	0.1026760779	0.009051854933
33	0.1036192678	0.009024761848
34	0.1055502993	0.008995785951
35	0.1072462355	0.008965459092
36	0.1088161097	0.008924115269
37	0.1098263607	0.008899661416
38	0.1096048797	0.008871429287
39	0.1122320939	0.008852252001
40	0.1132594683	0.008828739489
41	0.1146903272	0.008808895718
42	0.1168556485	0.008784680591
43	0.1180405018	0.008764360084
44	0.1209215369	0.008749475554
45	0.1215704304	0.008740252
46	0.1224692633	0.008728069346
47	0.1236719591	0.008720374586
48	0.1254786327	0.00869796644
49	0.1266153154	0.008680696164
50	0.1300701848	0.008644366154
51	0.1308642224	0.008624810463
52	0.1314728971	0.008613758672
53	0.1327739242	0.008593829248
54	0.1343737029	0.008577373101
55	0.1370400707	0.008563588072
56	0.1375383221	0.00852890305
57	0.1406709933	0.008512306426
58	0.1412804865	0.00849721935
59	0.1424509943	0.008487006792
60	0.1433895599	0.008478917881
61	0.1452249981	0.008468761846
62	0.147805952	0.008460571157
63	0.149692896	0.008447216299
64	0.15160389	0.008427867978
65	0.1536354754	0.008417535607
66	0.1540097945	0.008409978046
67	0.1552675149	0.008398089477
68	0.1572411751	0.008388695073
69	0.1584979846	0.008379530499
70	0.1600340454	0.008366116171
71	0.160342449	0.008359858633
72	0.1618725488	0.008348675818
73	0.1614582405	0.00833951772
74	0.1649874693	0.008313256192
75	0.166090767	0.00830646368
76	0.1664542147	0.008301805015
77	0.1691168848	0.008283736571
78	0.1696130033	0.008281834833
79	0.1698350694	0.008267896506
80	0.1717282798	0.008255019227
81	0.1730381134	0.00824549976
82	0.1749497506	0.008235569236
83	0.1768315698	0.00821882655
84	0.1775851845	0.008213189865
85	0.1791668348	0.008202934339
86	0.182341773	0.008191959802
87	0.1835622277	0.00818014715
88	0.1872395399	0.008159080047
89	0.188199981	0.008150984659
90	0.1899063542	0.008135488605
91	0.1915170169	0.008123682047
92	0.1943268102	0.008112898743
93	0.1954277119	0.008107904942
94	0.1976857845	0.008065728284
95	0.1992990015	0.008054291137
96	0.2013999616	0.008022527896
97	0.201855814	0.008016824583
98	0.2018138362	0.007989227036
99	0.2030326448	0.007979141375
100	0.2052823054	0.007971098586
101	0.2083351384	0.007959149343
102	0.2089152717	0.007948703402
103	0.2120030238	0.00793569486
104	0.2133733938	0.007930063276
105	0.2136299692	0.00792225185
106	0.2167926109	0.007912651503
107	0.2184932006	0.007904187786
108	0.2185671636	0.007902767973
109	0.2204402366	0.007890363682
110	0.2227381162	0.007879934332
111	0.2227067712	0.007874291798
112	0.2237646284	0.007869973728
113	0.2244752653	0.007863175137
114	0.2275165941	0.007849097678
115	0.2283476624	0.007843613833
116	0.2297496226	0.007837037963
117	0.2299469137	0.007833681903
118	0.2307854825	0.007823231388
119	0.2308870395	0.00781557739
120	0.2316378671	0.007810069434
121	0.2326515174	0.007805079364
122	0.2330971093	0.007795165772
123	0.233589451	0.007790027313
124	0.2345228009	0.007778253485
125	0.2344447713	0.007776811933
126	0.2354944983	0.007769611725
127	0.2365532559	0.007761290422
128	0.237230464	0.007753171114
129	0.2388745057	0.007743345445
130	0.2389715934	0.007741577505
131	0.2409070575	0.007732725627
132	0.2417851459	0.007722498993
133	0.2416821567	0.007718005819
134	0.2443033179	0.007707275372
135	0.2450884049	0.007702089874
136	0.245660807	0.007695253982
137	0.2465684177	0.007688182872
138	0.2468007697	0.007682917946
139	0.2482811228	0.007672666293
140	0.2488103754	0.007665215224
141	0.249734403	0.00766078698
142	0.250605316	0.007656057108
143	0.2514646473	0.007644441616
144	0.2529310373	0.007637693678
145	0.2541403205	0.007622776764
146	0.254838247	0.007618410293
147	0.2556898314	0.007605875761
148	0.2558956957	0.007603767953
149	0.2565314777	0.007600300773
150	0.2583411601	0.007591811817
151	0.2590431215	0.007577355651
152	0.2595469997	0.007574255819
153	0.2610171157	0.007565732414
154	0.2615069167	0.007563177536
155	0.2616668794	0.007560888253
156	0.2624084843	0.007555087922
157	0.2632752664	0.007552880304
158	0.2662097659	0.007540909281
159	0.2665326376	0.007538744094
160	0.268402597	0.007532992646
161	0.2697178298	0.007523846822
162	0.2708505882	0.007512535398
163	0.2724904441	0.007505953995
164	0.2733971019	0.007492650157
165	0.2731711194	0.007490318739
166	0.274757694	0.007480919433
167	0.275792821	0.00747594556
168	0.2776237043	0.007469262288
169	0.2796575236	0.007455582184
170	0.2797880603	0.007444842382
171	0.2810617603	0.007439472498
172	0.2814956346	0.007436766853
173	0.2820429991	0.00743405682
174	0.2827823387	0.007429067021
175	0.2841653381	0.007423436964
176	0.2851719916	0.007412811665
177	0.2861150879	0.007408981693
178	0.2862365583	0.007407185348
179	0.2874360229	0.007401353691
180	0.2882939763	0.007396809182
181	0.2906792948	0.007390181843
182	0.2926121817	0.007384083983
183	0.2944211255	0.007379018563
184	0.2963953558	0.007369395774
185	0.2973623631	0.007365053657
